time,position,temperature
0.000000,0.250250,4.421834
0.000000,0.251251,4.533540
0.000000,0.000000,0.000000
0.000000,0.001001,0.000392
0.000000,0.002002,0.000412
0.000000,0.003003,0.000433
0.000000,0.004004,0.000455
0.000000,0.005005,0.000478
0.000000,0.006006,0.000503
0.000000,0.007007,0.000528
0.000000,0.008008,0.000555
0.000000,0.009009,0.000583
0.000000,0.010010,0.000612
0.000000,0.011011,0.000643
0.000000,0.012012,0.000675
0.000000,0.013013,0.000709
0.000000,0.014014,0.000744
0.000000,0.015015,0.000781
0.000000,0.016016,0.000820
0.000000,0.017017,0.000861
0.000000,0.018018,0.000903
0.000000,0.252252,4.647603
0.000000,0.253253,4.764058
0.000000,0.254254,4.882942
0.000000,0.255255,5.004291
0.000000,0.256256,5.128142
0.000000,0.257257,5.254531
0.000000,0.258258,5.383496
0.000000,0.259259,5.515074
0.000000,0.260260,5.649302
0.000000,0.261261,5.786217
0.000000,0.262262,5.925856
0.000000,0.263263,6.068257
0.000000,0.264264,6.213457
0.000000,0.265265,6.361495
0.000000,0.266266,6.512407
0.000000,0.267267,6.666231
0.000000,0.268268,6.823004
0.000000,0.269269,6.982765
0.000000,0.270270,7.145551
0.000000,0.271271,7.311399
0.000000,0.272272,7.480347
0.000000,0.273273,7.652432
0.000000,0.274274,7.827691
0.000000,0.275275,8.006162
0.000000,0.276276,8.187882
0.000000,0.277277,8.372888
0.000000,0.278278,8.561216
0.000000,0.279279,8.752902
0.000000,0.280280,8.947984
0.000000,0.281281,9.146498
0.000000,0.282282,9.348479
0.000000,0.283283,9.553963
0.000000,0.284284,9.762985
0.000000,0.750751,4.312448
0.000000,0.019019,0.000948
0.000000,0.285285,9.975581
0.000000,0.286286,10.191785
0.000000,0.287287,10.411631
0.000000,0.288288,10.635154
0.000000,0.289289,10.862388
0.000000,0.290290,11.093365
0.000000,0.291291,11.328118
0.000000,0.292292,11.566681
0.000000,0.293293,11.809084
0.000000,0.294294,12.055359
0.000000,0.295295,12.305537
0.000000,0.296296,12.559648
0.000000,0.297297,12.817722
0.000000,0.298298,13.079789
0.000000,0.299299,13.345877
0.000000,0.300300,13.616013
0.000000,0.301301,13.890225
0.000000,0.302302,14.168541
0.000000,0.303303,14.450984
0.000000,0.304304,14.737582
0.000000,0.305305,15.028357
0.000000,0.306306,15.323334
0.000000,0.307307,15.622535
0.000000,0.308308,15.925983
0.000000,0.309309,16.233699
0.000000,0.310310,16.545702
0.000000,0.311311,16.862012
0.000000,0.020020,0.000994
0.000000,0.021021,0.001043
0.000000,0.022022,0.001095
0.000000,0.023023,0.001148
0.000000,0.312312,17.182647
0.000000,0.313313,17.507625
0.000000,0.314314,17.836962
0.000000,0.315315,18.170673
0.000000,0.316316,18.508774
0.000000,0.317317,18.851276
0.000000,0.318318,19.198193
0.000000,0.319319,19.549535
0.000000,0.320320,19.905312
0.000000,0.321321,20.265534
0.000000,0.322322,20.630207
0.000000,0.323323,20.999338
0.000000,0.324324,21.372933
0.000000,0.325325,21.750994
0.000000,0.326326,22.133525
0.000000,0.327327,22.520528
0.000000,0.328328,22.912001
0.000000,0.329329,23.307943
0.000000,0.330330,23.708352
0.000000,0.331331,24.113224
0.000000,0.332332,24.522553
0.000000,0.333333,24.936331
0.000000,0.334334,25.354551
0.000000,0.335335,25.777202
0.000000,0.336336,26.204273
0.000000,0.337337,26.635751
0.000000,0.500501,99.996243
0.000000,0.338338,27.071620
0.000000,0.339339,27.511866
0.000000,0.340340,27.956470
0.000000,0.341341,28.405412
0.000000,0.342342,28.858672
0.000000,0.343343,29.316228
0.000000,0.344344,29.778054
0.000000,0.345345,30.244125
0.000000,0.346346,30.714413
0.000000,0.347347,31.188888
0.000000,0.348348,31.667521
0.000000,0.349349,32.150277
0.000000,0.350350,32.637122
0.000000,0.351351,33.128020
0.000000,0.352352,33.622933
0.000000,0.353353,34.121820
0.000000,0.354354,34.624640
0.000000,0.355355,35.131350
0.000000,0.356356,35.641903
0.000000,0.357357,36.156254
0.000000,0.358358,36.674352
0.000000,0.359359,37.196147
0.000000,0.360360,37.721587
0.000000,0.361361,38.250616
0.000000,0.362362,38.783179
0.000000,0.363363,39.319217
0.000000,0.364364,39.858670
0.000000,0.365365,40.401475
0.000000,0.366366,40.947570
0.000000,0.501502,99.986224
0.000000,0.502503,99.966190
0.000000,0.503504,99.936146
0.000000,0.504505,99.896101
0.000000,0.505506,99.846068
0.000000,0.506507,99.786062
0.000000,0.507508,99.716100
0.000000,0.508509,99.636203
0.000000,0.509510,99.546396
0.000000,0.510511,99.446705
0.000000,0.511512,99.337160
0.000000,0.512513,99.217795
0.000000,0.513514,99.088644
0.000000,0.514515,98.949746
0.000000,0.515516,98.801143
0.000000,0.516517,98.642880
0.000000,0.517518,98.475002
0.000000,0.518519,98.297561
0.000000,0.519520,98.110609
0.000000,0.520521,97.914202
0.000000,0.521522,97.708397
